Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price
Europe,Czech Republic,Beverages,Offline,C,9/12/2011,478051030,9/29/2011,4778,47.45
Europe,Bosnia and Herzegovina,Clothes,Online,M,10/14/2013,919133651,11/4/2013,927,109.28
Europe,Austria,Cereal,Offline,C,8/13/2014,987410676,9/6/2014,5616,205.7
Europe,Bulgaria,Office Supplies,Online,L,10/31/2010,672330081,11/29/2010,6266,651.21
Europe,Estonia,Fruits,Online,L,9/28/2016,579463422,11/1/2016,4958,9.33
Europe,Montenegro,Fruits,Offline,L,5/29/2016,313705861,7/10/2016,1390,9.33
Europe,Czech Republic,Cereal,Online,M,7/8/2011,552037513,8/5/2011,9022,205.7
Europe,Luxembourg,Vegetables,Offline,L,2/13/2010,744683635,4/1/2010,7291,154.06
Europe,Switzerland,Meat,Online,L,3/21/2014,169378983,4/10/2014,1860,421.89
Europe,Finland,Beverages,Online,H,3/16/2012,566428315,3/23/2012,7581,47.45
Europe,Belgium,Snacks,Online,M,1/12/2015,519380223,1/17/2015,5005,152.58
Europe,San Marino,Office Supplies,Online,H,4/13/2014,904589211,5/4/2014,6905,651.21
Europe,Bosnia and Herzegovina,Baby Food,Online,C,4/4/2015,184412229,4/7/2015,531,255.28
Europe,Netherlands,Meat,Offline,M,3/8/2017,747774398,4/3/2017,1916,421.89
Europe,Russia,Household,Online,M,7/10/2017,194176757,8/20/2017,72,668.27
Europe,Ukraine,Cosmetics,Online,H,1/22/2011,773645913,1/28/2011,7873,437.2
Europe,Bosnia and Herzegovina,Meat,Online,H,7/24/2012,410740888,9/1/2012,6211,421.89
Europe,Latvia,Meat,Offline,M,12/15/2011,847317397,12/18/2011,8902,421.89
Europe,Serbia,Beverages,Online,L,9/3/2012,599624192,9/21/2012,978,47.45
Europe,Portugal,Office Supplies,Online,M,1/21/2014,734318292,3/4/2014,9956,651.21
Europe,Poland,Household,Offline,L,7/7/2017,232196319,8/4/2017,905,668.27
Europe,Liechtenstein,Cosmetics,Online,L,7/15/2012,229693067,7/15/2012,138,437.2
Europe,United Kingdom,Beverages,Online,C,4/8/2017,121945512,4/12/2017,5242,47.45
Europe,Slovenia,Fruits,Online,H,10/22/2012,169799983,11/20/2012,6443,9.33
Europe,Malta,Vegetables,Online,M,3/11/2014,894589078,4/10/2014,7643,154.06
Europe,Ukraine,Personal Care,Online,M,7/16/2010,987459170,8/27/2010,9967,81.73
Europe,Cyprus,Fruits,Offline,M,7/12/2015,600515115,8/30/2015,4622,9.33
Europe,Poland,Office Supplies,Offline,M,11/27/2015,208365428,12/29/2015,8815,651.21
Europe,Monaco,Personal Care,Online,L,6/8/2014,263098371,7/4/2014,5509,81.73
Europe,Estonia,Cosmetics,Online,C,5/23/2011,790149009,5/29/2011,1505,437.2
Europe,Norway,Cereal,Online,M,10/8/2014,100640618,10/18/2014,650,205.7
Europe,Luxembourg,Snacks,Online,H,2/1/2011,977324712,3/10/2011,955,152.58
Europe,Luxembourg,Snacks,Online,H,9/7/2010,510956799,9/23/2010,2326,152.58
Europe,Armenia,Fruits,Online,M,3/23/2011,120977771,5/2/2011,8866,9.33
Europe,Bulgaria,Snacks,Offline,L,3/11/2017,476991450,3/27/2017,1225,152.58
Europe,Denmark,Beverages,Online,H,6/5/2016,973268353,6/26/2016,589,47.45
Europe,Finland,Vegetables,Offline,L,2/14/2013,771674382,3/21/2013,4453,154.06
Europe,Kosovo,Fruits,Online,L,5/2/2010,291995418,6/6/2010,6788,9.33
Europe,Hungary,Baby Food,Online,M,1/25/2011,128686225,3/13/2011,9968,255.28
Europe,Lithuania,Cosmetics,Offline,L,1/6/2012,420875346,2/18/2012,5223,437.2
Europe,Albania,Vegetables,Online,C,10/5/2012,476633536,11/3/2012,5310,154.06
Europe,Cyprus,Vegetables,Offline,C,7/2/2014,727997720,7/19/2014,9558,154.06
Europe,Moldova ,Personal Care,Online,M,3/11/2013,467045819,4/12/2013,8092,81.73
Europe,Kosovo,Cosmetics,Offline,C,11/1/2012,813973891,11/13/2012,1818,437.2
Europe,Albania,Cosmetics,Offline,L,9/30/2016,576944720,10/9/2016,9619,437.2
Europe,Portugal,Baby Food,Online,L,8/3/2015,404789817,9/8/2015,5157,255.28
Europe,Bosnia and Herzegovina,Baby Food,Online,C,4/30/2014,871923768,5/30/2014,474,255.28
Europe,Kosovo,Vegetables,Offline,C,12/18/2012,818976962,12/21/2012,2337,154.06
Europe,Switzerland,Cosmetics,Online,C,7/20/2017,233811223,7/20/2017,8792,437.2
Europe,Lithuania,Office Supplies,Offline,C,12/15/2016,112330758,1/11/2017,22,651.21
Europe,Montenegro,Office Supplies,Offline,H,7/2/2014,256095016,8/21/2014,3061,651.21
Europe,France,Meat,Online,L,11/28/2015,245440852,12/17/2015,257,421.89
Europe,Spain,Fruits,Online,H,10/22/2011,817006289,11/14/2011,9172,9.33
Europe,Sweden,Vegetables,Online,H,9/20/2010,298228013,10/25/2010,1151,154.06
Europe,Latvia,Snacks,Online,C,3/15/2017,972981679,4/9/2017,5755,152.58
Europe,Norway,Personal Care,Offline,M,6/8/2012,594813811,6/17/2012,7480,81.73
Europe,Estonia,Clothes,Online,H,9/8/2012,176722657,9/16/2012,5016,109.28
Europe,Malta,Personal Care,Offline,M,8/16/2011,466988742,8/16/2011,1201,81.73
Europe,Portugal,Cereal,Online,C,8/11/2015,615080583,9/19/2015,4868,205.7
Europe,Macedonia,Cosmetics,Online,C,12/26/2010,350977408,1/22/2011,869,437.2
Europe,Greece,Personal Care,Offline,M,12/8/2011,701298367,1/6/2012,8626,81.73
Europe,Italy,Personal Care,Online,C,2/25/2011,309342658,3/28/2011,222,81.73
Europe,Norway,Household,Offline,M,3/20/2010,384128224,4/26/2010,933,668.27
Europe,Netherlands,Household,Offline,C,1/17/2014,990774810,2/18/2014,1138,668.27
Europe,Belgium,Vegetables,Offline,C,12/26/2011,394110763,12/29/2011,4988,154.06
Europe,Kosovo,Fruits,Online,C,3/2/2012,899868094,3/26/2012,9821,9.33
Europe,Germany,Baby Food,Offline,L,1/6/2017,361311852,2/15/2017,9061,255.28
Europe,Hungary,Beverages,Online,L,5/20/2014,930136287,6/21/2014,6852,47.45
Europe,Bulgaria,Cosmetics,Online,C,5/5/2012,179819428,6/2/2012,1420,437.2
Europe,Bosnia and Herzegovina,Fruits,Online,H,1/5/2013,291305768,1/6/2013,2705,9.33
Europe,Russia,Personal Care,Online,L,4/24/2015,602357041,5/5/2015,9689,81.73
Europe,Albania,Snacks,Online,H,12/2/2010,653087270,12/7/2010,1891,152.58
Europe,Slovenia,Fruits,Offline,M,12/15/2013,812637078,1/5/2014,6225,9.33
Europe,Macedonia,Personal Care,Online,L,7/19/2014,456192958,8/18/2014,6489,81.73
Europe,Albania,Meat,Offline,H,1/31/2013,986449801,3/13/2013,1272,421.89
Europe,Sweden,Cosmetics,Online,L,7/3/2017,910610234,7/31/2017,8659,437.2
Europe,Norway,Meat,Online,M,3/3/2017,696844613,3/22/2017,661,421.89
Europe,Czech Republic,Personal Care,Online,M,12/4/2010,353415429,12/8/2010,2334,81.73
Europe,Andorra,Cereal,Online,H,3/19/2010,696197879,3/26/2010,9278,205.7
Europe,Iceland,Cosmetics,Online,C,4/5/2012,907349526,5/16/2012,3743,437.2
Europe,Poland,Personal Care,Offline,C,4/5/2014,386440074,4/25/2014,5060,81.73
Europe,Finland,Vegetables,Online,H,9/28/2012,800352561,10/21/2012,963,154.06
Europe,Poland,Beverages,Offline,C,1/8/2014,714165675,2/2/2014,6348,47.45
Europe,Croatia,Beverages,Offline,L,2/22/2013,189924275,3/21/2013,1668,47.45
Europe,Poland,Meat,Online,H,4/30/2013,546081721,5/22/2013,6571,421.89
Europe,Switzerland,Baby Food,Online,C,6/26/2010,979073941,7/18/2010,8591,255.28
Europe,Bosnia and Herzegovina,Personal Care,Offline,L,2/7/2010,396718728,3/18/2010,6742,81.73
Europe,Hungary,Beverages,Offline,M,12/3/2010,948075759,1/4/2011,5540,47.45
Europe,Sweden,Cereal,Offline,L,10/19/2012,737736070,11/3/2012,1352,205.7
